cluster,variable,est,value,type,group
ID,bmi,mean,37.74586120506426,Continuous,NA
ID,bmi,sd,7.232626912304131,Continuous,NA
ID,bmi,median,37.7509,Continuous,NA
ID,bmi,q25,33.8659,Continuous,NA
ID,bmi,q75,39.382354273,Continuous,NA
ID,bmi,min,22.195798652,Continuous,NA
ID,bmi,max,89.012019185,Continuous,NA
ID,bmi,freq,249,Continuous,NA
ID,bmi,missing,0,Continuous,NA
ID,hba1c,mean,6.8906024096385545,Continuous,NA
ID,hba1c,sd,1.7053823826705854,Continuous,NA
ID,hba1c,median,6.4,Continuous,NA
ID,hba1c,q25,5.8,Continuous,NA
ID,hba1c,q75,7.3,Continuous,NA
ID,hba1c,min,4.7,Continuous,NA
ID,hba1c,max,14.6,Continuous,NA
ID,hba1c,freq,249,Continuous,NA
ID,hba1c,missing,0,Continuous,NA
ID,cpeptidef,mean,4.558899598393574,Continuous,NA
ID,cpeptidef,sd,1.8671771069584797,Continuous,NA
ID,cpeptidef,median,4.39,Continuous,NA
ID,cpeptidef,q25,3.36,Continuous,NA
ID,cpeptidef,q75,5.82,Continuous,NA
ID,cpeptidef,min,0.48,Continuous,NA
ID,cpeptidef,max,11.4,Continuous,NA
ID,cpeptidef,freq,249,Continuous,NA
ID,cpeptidef,missing,0,Continuous,NA
ID,sbp,mean,123.24176706841205,Continuous,NA
ID,sbp,sd,8.944641840475391,Continuous,NA
ID,sbp,median,122.5,Continuous,NA
ID,sbp,q25,118,Continuous,NA
ID,sbp,q75,128,Continuous,NA
ID,sbp,min,98,Continuous,NA
ID,sbp,max,156.5,Continuous,NA
ID,sbp,freq,249,Continuous,NA
ID,sbp,missing,0,Continuous,NA
ID,dbp,mean,75.81659973223374,Continuous,NA
ID,dbp,sd,8.71857188635579,Continuous,NA
ID,dbp,median,75,Continuous,NA
ID,dbp,q25,70,Continuous,NA
ID,dbp,q75,80.666666667,Continuous,NA
ID,dbp,min,50.666666667,Continuous,NA
ID,dbp,max,107.33333333,Continuous,NA
ID,dbp,freq,249,Continuous,NA
ID,dbp,missing,0,Continuous,NA
ID,ldlc,mean,99.44899598393575,Continuous,NA
ID,ldlc,sd,27.882044332604206,Continuous,NA
ID,ldlc,median,98,Continuous,NA
ID,ldlc,q25,81,Continuous,NA
ID,ldlc,q75,114,Continuous,NA
ID,ldlc,min,44,Continuous,NA
ID,ldlc,max,231,Continuous,NA
ID,ldlc,freq,249,Continuous,NA
ID,ldlc,missing,0,Continuous,NA
ID,hdlc,mean,37.25140562248996,Continuous,NA
ID,hdlc,sd,8.283558824960512,Continuous,NA
ID,hdlc,median,36,Continuous,NA
ID,hdlc,q25,32,Continuous,NA
ID,hdlc,q75,42,Continuous,NA
ID,hdlc,min,15,Continuous,NA
ID,hdlc,max,66,Continuous,NA
ID,hdlc,freq,249,Continuous,NA
ID,hdlc,missing,0,Continuous,NA
ID,totalc,mean,167.4016393442623,Continuous,NA
ID,totalc,sd,36.566115740487916,Continuous,NA
ID,totalc,median,163,Continuous,NA
ID,totalc,q25,143.75,Continuous,NA
ID,totalc,q75,187,Continuous,NA
ID,totalc,min,89,Continuous,NA
ID,totalc,max,330,Continuous,NA
ID,totalc,freq,244,Continuous,NA
ID,totalc,missing,5,Continuous,NA
ID,insulinf,mean,37.61747572815534,Continuous,NA
ID,insulinf,sd,20.197599484545943,Continuous,NA
ID,insulinf,median,34,Continuous,NA
ID,insulinf,q25,25,Continuous,NA
ID,insulinf,q75,47.7,Continuous,NA
