sex_cluster,variable,est,value,type,group
Female_ID,bmi,mean,37.929208099820315,Continuous,NA
Female_ID,bmi,sd,7.231718487627248,Continuous,NA
Female_ID,bmi,median,38,Continuous,NA
Female_ID,bmi,q25,33.7482,Continuous,NA
Female_ID,bmi,q75,39.991302053750005,Continuous,NA
Female_ID,bmi,min,23.088935158,Continuous,NA
Female_ID,bmi,max,88.085486242,Continuous,NA
Female_ID,bmi,freq,128,Continuous,NA
Female_ID,bmi,missing,0,Continuous,NA
Female_ID,hba1c,mean,6.8296875,Continuous,NA
Female_ID,hba1c,sd,1.6255034047634713,Continuous,NA
Female_ID,hba1c,median,6.35,Continuous,NA
Female_ID,hba1c,q25,5.8,Continuous,NA
Female_ID,hba1c,q75,7.1499999999999995,Continuous,NA
Female_ID,hba1c,min,5,Continuous,NA
Female_ID,hba1c,max,14.4,Continuous,NA
Female_ID,hba1c,freq,128,Continuous,NA
Female_ID,hba1c,missing,0,Continuous,NA
Female_ID,cpeptidef,mean,4.685921875,Continuous,NA
Female_ID,cpeptidef,sd,1.7766401875599769,Continuous,NA
Female_ID,cpeptidef,median,4.615,Continuous,NA
Female_ID,cpeptidef,q25,3.4225000000000003,Continuous,NA
Female_ID,cpeptidef,q75,5.867500000000001,Continuous,NA
Female_ID,cpeptidef,min,0.48,Continuous,NA
Female_ID,cpeptidef,max,9.6,Continuous,NA
Female_ID,cpeptidef,freq,128,Continuous,NA
Female_ID,cpeptidef,missing,0,Continuous,NA
Female_ID,sbp,mean,121.98437500015625,Continuous,NA
Female_ID,sbp,sd,9.217965206366273,Continuous,NA
Female_ID,sbp,median,120.66666667,Continuous,NA
Female_ID,sbp,q25,116,Continuous,NA
Female_ID,sbp,q75,127,Continuous,NA
Female_ID,sbp,min,98,Continuous,NA
Female_ID,sbp,max,156.5,Continuous,NA
Female_ID,sbp,freq,128,Continuous,NA
Female_ID,sbp,missing,0,Continuous,NA
Female_ID,dbp,mean,76.54427083330626,Continuous,NA
Female_ID,dbp,sd,8.521946459926719,Continuous,NA
Female_ID,dbp,median,75.75,Continuous,NA
Female_ID,dbp,q25,70.91666666675,Continuous,NA
Female_ID,dbp,q75,81.333333333,Continuous,NA
Female_ID,dbp,min,56.666666667,Continuous,NA
Female_ID,dbp,max,103.33333333,Continuous,NA
Female_ID,dbp,freq,128,Continuous,NA
Female_ID,dbp,missing,0,Continuous,NA
Female_ID,ldlc,mean,100.2953125,Continuous,NA
Female_ID,ldlc,sd,27.455331967486423,Continuous,NA
Female_ID,ldlc,median,99.7,Continuous,NA
Female_ID,ldlc,q25,83,Continuous,NA
