sex_cluster,variable,est,value,type,group
Female_yMOD,bmi,mean,33.72735534812169,Continuous,NA
Female_yMOD,bmi,sd,3.4045088495536437,Continuous,NA
Female_yMOD,bmi,median,32.3242,Continuous,NA
Female_yMOD,bmi,q25,32,Continuous,NA
Female_yMOD,bmi,q75,36.174605408,Continuous,NA
Female_yMOD,bmi,min,22.729638446,Continuous,NA
Female_yMOD,bmi,max,49.893605236,Continuous,NA
Female_yMOD,bmi,freq,189,Continuous,NA
Female_yMOD,bmi,missing,0,Continuous,NA
Female_yMOD,hba1c,mean,5.908994708994709,Continuous,NA
Female_yMOD,hba1c,sd,0.7957824631739887,Continuous,NA
Female_yMOD,hba1c,median,5.8,Continuous,NA
Female_yMOD,hba1c,q25,5.4,Continuous,NA
Female_yMOD,hba1c,q75,6.3,Continuous,NA
Female_yMOD,hba1c,min,4.3,Continuous,NA
Female_yMOD,hba1c,max,10.9,Continuous,NA
Female_yMOD,hba1c,freq,189,Continuous,NA
Female_yMOD,hba1c,missing,0,Continuous,NA
Female_yMOD,cpeptidef,mean,3.6871322751322753,Continuous,NA
Female_yMOD,cpeptidef,sd,1.468790155074667,Continuous,NA
Female_yMOD,cpeptidef,median,3.45,Continuous,NA
Female_yMOD,cpeptidef,q25,2.71,Continuous,NA
Female_yMOD,cpeptidef,q75,4.46,Continuous,NA
Female_yMOD,cpeptidef,min,1.01,Continuous,NA
Female_yMOD,cpeptidef,max,8.92,Continuous,NA
Female_yMOD,cpeptidef,freq,189,Continuous,NA
Female_yMOD,cpeptidef,missing,0,Continuous,NA
Female_yMOD,sbp,mean,107.56190476186032,Continuous,NA
Female_yMOD,sbp,sd,8.068412837502741,Continuous,NA
Female_yMOD,sbp,median,107.5,Continuous,NA
Female_yMOD,sbp,q25,102.66666667,Continuous,NA
Female_yMOD,sbp,q75,112.66666667,Continuous,NA
Female_yMOD,sbp,min,84.666666667,Continuous,NA
Female_yMOD,sbp,max,130,Continuous,NA
Female_yMOD,sbp,freq,189,Continuous,NA
Female_yMOD,sbp,missing,0,Continuous,NA
Female_yMOD,dbp,mean,63.914285714301585,Continuous,NA
Female_yMOD,dbp,sd,7.216983305001222,Continuous,NA
Female_yMOD,dbp,median,64,Continuous,NA
