study_cca,variable,est,value,type,group
Total,bmi,mean,33.1644636768454,Continuous,NA
Total,bmi,sd,7.3847145524235644,Continuous,NA
Total,bmi,median,32.5698146235,Continuous,NA
Total,bmi,q25,31.1904654915,Continuous,NA
Total,bmi,q75,37.95705,Continuous,NA
Total,bmi,min,16.160107457,Continuous,NA
Total,bmi,max,89.012019185,Continuous,NA
Total,bmi,freq,718,Continuous,NA
Total,bmi,missing,0,Continuous,NA
Total,hba1c,mean,6.553375196232339,Continuous,NA
Total,hba1c,sd,1.5932864473615753,Continuous,NA
Total,hba1c,median,6.1,Continuous,NA
Total,hba1c,q25,5.5,Continuous,NA
Total,hba1c,q75,7,Continuous,NA
Total,hba1c,min,4.3,Continuous,NA
Total,hba1c,max,15,Continuous,NA
Total,hba1c,freq,637,Continuous,NA
Total,hba1c,missing,81,Continuous,NA
Total,cpeptidef,mean,3.780464743589744,Continuous,NA
Total,cpeptidef,sd,1.8583919960422848,Continuous,NA
Total,cpeptidef,median,3.5,Continuous,NA
Total,cpeptidef,q25,2.5549999999999997,Continuous,NA
Total,cpeptidef,q75,4.8,Continuous,NA
Total,cpeptidef,min,0.05,Continuous,NA
Total,cpeptidef,max,11.4,Continuous,NA
Total,cpeptidef,freq,624,Continuous,NA
Total,cpeptidef,missing,94,Continuous,NA
Total,sbp,mean,113.42837078657443,Continuous,NA
Total,sbp,sd,11.814270364586811,Continuous,NA
Total,sbp,median,112.66666667,Continuous,NA
Total,sbp,q25,105.9166666675,Continuous,NA
Total,sbp,q75,120.66666667,Continuous,NA
Total,sbp,min,80.666666667,Continuous,NA
Total,sbp,max,156.5,Continuous,NA
Total,sbp,freq,712,Continuous,NA
Total,sbp,missing,6,Continuous,NA
Total,dbp,mean,68.63502109704079,Continuous,NA
Total,dbp,sd,9.660309077964243,Continuous,NA
Total,dbp,median,68,Continuous,NA
Total,dbp,q25,61.5,Continuous,NA
Total,dbp,q75,74.666666667,Continuous,NA
Total,dbp,min,42,Continuous,NA
Total,dbp,max,107.33333333,Continuous,NA
Total,dbp,freq,711,Continuous,NA
Total,dbp,missing,7,Continuous,NA
Total,ldlc,mean,90.64147909967846,Continuous,NA
Total,ldlc,sd,28.310136848350773,Continuous,NA
Total,ldlc,median,88,Continuous,NA
