study_sex,variable,est,value,type,group
Female_search,bmi,mean,35.092829993705884,Continuous,NA
Female_search,bmi,sd,8.458484454689216,Continuous,NA
Female_search,bmi,median,33.8386397905,Continuous,NA
Female_search,bmi,q25,29.508546563,Continuous,NA
Female_search,bmi,q75,39.58974624475,Continuous,NA
Female_search,bmi,min,17.400568182,Continuous,NA
Female_search,bmi,max,88.085486242,Continuous,NA
Female_search,bmi,freq,170,Continuous,NA
Female_search,bmi,missing,0,Continuous,NA
Female_search,hba1c,mean,7.191764705882353,Continuous,NA
Female_search,hba1c,sd,1.987249996316362,Continuous,NA
Female_search,hba1c,median,6.4,Continuous,NA
Female_search,hba1c,q25,5.8,Continuous,NA
Female_search,hba1c,q75,8.1,Continuous,NA
Female_search,hba1c,min,4.6,Continuous,NA
Female_search,hba1c,max,15,Continuous,NA
Female_search,hba1c,freq,170,Continuous,NA
Female_search,hba1c,missing,0,Continuous,NA
Female_search,cpeptidef,mean,3.870858823529412,Continuous,NA
Female_search,cpeptidef,sd,1.9653343522276165,Continuous,NA
Female_search,cpeptidef,median,3.585,Continuous,NA
Female_search,cpeptidef,q25,2.5425,Continuous,NA
Female_search,cpeptidef,q75,5.074999999999999,Continuous,NA
Female_search,cpeptidef,min,0.11,Continuous,NA
Female_search,cpeptidef,max,11.3,Continuous,NA
Female_search,cpeptidef,freq,170,Continuous,NA
Female_search,cpeptidef,missing,0,Continuous,NA
Female_search,sbp,mean,113.46784313728588,Continuous,NA
Female_search,sbp,sd,12.0989531197011,Continuous,NA
Female_search,sbp,median,112.66666667,Continuous,NA
Female_search,sbp,q25,106,Continuous,NA
Female_search,sbp,q75,120,Continuous,NA
Female_search,sbp,min,84.666666667,Continuous,NA
Female_search,sbp,max,150.66666667,Continuous,NA
Female_search,sbp,freq,170,Continuous,NA
Female_search,sbp,missing,0,Continuous,NA
Female_search,dbp,mean,70.32039215686,Continuous,NA
Female_search,dbp,sd,10.111934472644075,Continuous,NA
Female_search,dbp,median,70,Continuous,NA
Female_search,dbp,q25,63.333333333,Continuous,NA
Female_search,dbp,q75,76.666666667,Continuous,NA
Female_search,dbp,min,45.333333333,Continuous,NA
Female_search,dbp,max,103.33333333,Continuous,NA
Female_search,dbp,freq,170,Continuous,NA
Female_search,dbp,missing,0,Continuous,NA
Female_search,ldlc,mean,99.46117647058824,Continuous,NA
Female_search,ldlc,sd,30.333632374735423,Continuous,NA
Female_search,ldlc,median,99.2,Continuous,NA
Female_search,ldlc,q25,76.25,Continuous,NA
Female_search,ldlc,q75,117.75,Continuous,NA
Female_search,ldlc,min,40,Continuous,NA
Female_search,ldlc,max,231,Continuous,NA
Female_search,ldlc,freq,170,Continuous,NA
Female_search,ldlc,missing,0,Continuous,NA
Female_search,hdlc,mean,40.688235294117646,Continuous,NA
Female_search,hdlc,sd,8.362977185185333,Continuous,NA
Female_search,hdlc,median,41,Continuous,NA
Female_search,hdlc,q25,35,Continuous,NA
Female_search,hdlc,q75,45,Continuous,NA
Female_search,hdlc,min,16,Continuous,NA
Female_search,hdlc,max,65,Continuous,NA
Female_search,hdlc,freq,170,Continuous,NA
Female_search,hdlc,missing,0,Continuous,NA
Female_search,totalc,mean,168.50931677018633,Continuous,NA
Female_search,totalc,sd,40.092567579980205,Continuous,NA
Female_search,totalc,median,167,Continuous,NA
Female_search,totalc,q25,141,Continuous,NA
Female_search,totalc,q75,195,Continuous,NA
Female_search,totalc,min,89,Continuous,NA
Female_search,totalc,max,330,Continuous,NA
Female_search,totalc,freq,161,Continuous,NA
Female_search,totalc,missing,9,Continuous,NA
Female_search,insulinf,mean,NA,Continuous,NA
Female_search,insulinf,sd,NA,Continuous,NA
Female_search,insulinf,median,NA,Continuous,NA
Female_search,insulinf,q25,NA,Continuous,NA
Female_search,insulinf,q75,NA,Continuous,NA
Female_search,insulinf,min,Inf,Continuous,NA
Female_search,insulinf,max,-Inf,Continuous,NA
Female_search,insulinf,freq,0,Continuous,NA
Female_search,insulinf,missing,170,Continuous,NA
Female_search,tgl,mean,NA,Continuous,NA
Female_search,tgl,sd,NA,Continuous,NA
Female_search,tgl,median,NA,Continuous,NA
