study,variable,est,value,type,group
SEARCH,bmi,mean,34.36335056017763,Continuous,NA
SEARCH,bmi,sd,9.083218372688314,Continuous,NA
SEARCH,bmi,median,33.8386397905,Continuous,NA
SEARCH,bmi,q25,28.390929728000003,Continuous,NA
SEARCH,bmi,q75,39.37265554375,Continuous,NA
SEARCH,bmi,min,16.192858663,Continuous,NA
SEARCH,bmi,max,89.012019185,Continuous,NA
SEARCH,bmi,freq,304,Continuous,NA
SEARCH,bmi,missing,0,Continuous,NA
SEARCH,hba1c,mean,7.265986842105264,Continuous,NA
SEARCH,hba1c,sd,1.9642110618606825,Continuous,NA
SEARCH,hba1c,median,6.6,Continuous,NA
SEARCH,hba1c,q25,5.8,Continuous,NA
SEARCH,hba1c,q75,8.225,Continuous,NA
SEARCH,hba1c,min,4.6,Continuous,NA
SEARCH,hba1c,max,15,Continuous,NA
SEARCH,hba1c,freq,304,Continuous,NA
SEARCH,hba1c,missing,0,Continuous,NA
SEARCH,cpeptidef,mean,3.7156644736842104,Continuous,NA
SEARCH,cpeptidef,sd,2.12928002658293,Continuous,NA
SEARCH,cpeptidef,median,3.42,Continuous,NA
SEARCH,cpeptidef,q25,2.1475,Continuous,NA
SEARCH,cpeptidef,q75,4.8774999999999995,Continuous,NA
SEARCH,cpeptidef,min,0.05,Continuous,NA
SEARCH,cpeptidef,max,11.4,Continuous,NA
SEARCH,cpeptidef,freq,304,Continuous,NA
SEARCH,cpeptidef,missing,0,Continuous,NA
SEARCH,sbp,mean,115.46337719312565,Continuous,NA
SEARCH,sbp,sd,12.388136949299405,Continuous,NA
SEARCH,sbp,median,114.66666667,Continuous,NA
SEARCH,sbp,q25,107.33333333,Continuous,NA
SEARCH,sbp,q75,122.66666667,Continuous,NA
SEARCH,sbp,min,84.666666667,Continuous,NA
SEARCH,sbp,max,150.66666667,Continuous,NA
SEARCH,sbp,freq,304,Continuous,NA
SEARCH,sbp,missing,0,Continuous,NA
SEARCH,dbp,mean,71.13157894735922,Continuous,NA
SEARCH,dbp,sd,10.317428968091232,Continuous,NA
SEARCH,dbp,median,70.666666667,Continuous,NA
SEARCH,dbp,q25,63.333333333,Continuous,NA
SEARCH,dbp,q75,78.666666667,Continuous,NA
SEARCH,dbp,min,45.333333333,Continuous,NA
SEARCH,dbp,max,107.33333333,Continuous,NA
SEARCH,dbp,freq,304,Continuous,NA
SEARCH,dbp,missing,0,Continuous,NA
SEARCH,ldlc,mean,98.83947368421053,Continuous,NA
SEARCH,ldlc,sd,29.83384163417059,Continuous,NA
SEARCH,ldlc,median,97.5,Continuous,NA
SEARCH,ldlc,q25,78,Continuous,NA
SEARCH,ldlc,q75,115,Continuous,NA
SEARCH,ldlc,min,36,Continuous,NA
SEARCH,ldlc,max,231,Continuous,NA
SEARCH,ldlc,freq,304,Continuous,NA
SEARCH,ldlc,missing,0,Continuous,NA
SEARCH,hdlc,mean,39.60197368421053,Continuous,NA
SEARCH,hdlc,sd,9.33503263923286,Continuous,NA
SEARCH,hdlc,median,39,Continuous,NA
SEARCH,hdlc,q25,33.75,Continuous,NA
SEARCH,hdlc,q75,45,Continuous,NA
SEARCH,hdlc,min,13,Continuous,NA
SEARCH,hdlc,max,65,Continuous,NA
SEARCH,hdlc,freq,304,Continuous,NA
SEARCH,hdlc,missing,0,Continuous,NA
SEARCH,totalc,mean,168.2902097902098,Continuous,NA
SEARCH,totalc,sd,39.30594850688645,Continuous,NA
SEARCH,totalc,median,166,Continuous,NA
SEARCH,totalc,q25,141,Continuous,NA
SEARCH,totalc,q75,193,Continuous,NA
SEARCH,totalc,min,89,Continuous,NA
SEARCH,totalc,max,330,Continuous,NA
SEARCH,totalc,freq,286,Continuous,NA
SEARCH,totalc,missing,18,Continuous,NA
SEARCH,insulinf,mean,NA,Continuous,NA
SEARCH,insulinf,sd,NA,Continuous,NA
SEARCH,insulinf,median,NA,Continuous,NA
SEARCH,insulinf,q25,NA,Continuous,NA
SEARCH,insulinf,q75,NA,Continuous,NA
SEARCH,insulinf,min,Inf,Continuous,NA
SEARCH,insulinf,max,-Inf,Continuous,NA
SEARCH,insulinf,freq,0,Continuous,NA
SEARCH,insulinf,missing,304,Continuous,NA
SEARCH,tgl,mean,NA,Continuous,NA
SEARCH,tgl,sd,NA,Continuous,NA
SEARCH,tgl,median,NA,Continuous,NA
SEARCH,tgl,q25,NA,Continuous,NA
SEARCH,tgl,q75,NA,Continuous,NA
SEARCH,tgl,min,Inf,Continuous,NA
SEARCH,tgl,max,-Inf,Continuous,NA
SEARCH,tgl,freq,0,Continuous,NA
SEARCH,tgl,missing,304,Continuous,NA
SEARCH,glucosef,mean,NA,Continuous,NA
SEARCH,glucosef,sd,NA,Continuous,NA
SEARCH,glucosef,median,NA,Continuous,NA
SEARCH,glucosef,q25,NA,Continuous,NA
SEARCH,glucosef,q75,NA,Continuous,NA
SEARCH,glucosef,min,Inf,Continuous,NA
SEARCH,glucosef,max,-Inf,Continuous,NA
SEARCH,glucosef,freq,0,Continuous,NA
SEARCH,glucosef,missing,304,Continuous,NA
TODAY,bmi,mean,34.53567804154303,Continuous,NA
TODAY,bmi,sd,2.604568535946974,Continuous,NA
TODAY,bmi,median,33.7775,Continuous,NA
TODAY,bmi,q25,32,Continuous,NA
TODAY,bmi,q75,38,Continuous,NA
TODAY,bmi,min,32,Continuous,NA
TODAY,bmi,max,38,Continuous,NA
TODAY,bmi,freq,337,Continuous,NA
TODAY,bmi,missing,0,Continuous,NA
TODAY,hba1c,mean,5.912759643916914,Continuous,NA
TODAY,hba1c,sd,0.6808938748753215,Continuous,NA
TODAY,hba1c,median,5.9,Continuous,NA
TODAY,hba1c,q25,5.4,Continuous,NA
TODAY,hba1c,q75,6.3,Continuous,NA
TODAY,hba1c,min,4.3,Continuous,NA
TODAY,hba1c,max,7.9,Continuous,NA
TODAY,hba1c,freq,337,Continuous,NA
TODAY,hba1c,missing,0,Continuous,NA
TODAY,cpeptidef,mean,3.798925816023739,Continuous,NA
TODAY,cpeptidef,sd,1.556247179329439,Continuous,NA
TODAY,cpeptidef,median,3.55,Continuous,NA
TODAY,cpeptidef,q25,2.7,Continuous,NA
TODAY,cpeptidef,q75,4.64,Continuous,NA
TODAY,cpeptidef,min,1.04,Continuous,NA
TODAY,cpeptidef,max,8.92,Continuous,NA
TODAY,cpeptidef,freq,337,Continuous,NA
TODAY,cpeptidef,missing,0,Continuous,NA
TODAY,sbp,mean,113.03857566765579,Continuous,NA
TODAY,sbp,sd,10.662364066615295,Continuous,NA
TODAY,sbp,median,113,Continuous,NA
TODAY,sbp,q25,106,Continuous,NA
TODAY,sbp,q75,120,Continuous,NA
TODAY,sbp,min,86,Continuous,NA
TODAY,sbp,max,156.5,Continuous,NA
TODAY,sbp,freq,337,Continuous,NA
TODAY,sbp,missing,0,Continuous,NA
TODAY,dbp,mean,66.68100890207715,Continuous,NA
TODAY,dbp,sd,8.620117399379616,Continuous,NA
TODAY,dbp,median,66.5,Continuous,NA
TODAY,dbp,q25,61,Continuous,NA
TODAY,dbp,q75,72,Continuous,NA
TODAY,dbp,min,42,Continuous,NA
TODAY,dbp,max,96,Continuous,NA
TODAY,dbp,freq,337,Continuous,NA
TODAY,dbp,missing,0,Continuous,NA
TODAY,ldlc,mean,83.41127596439169,Continuous,NA
TODAY,ldlc,sd,23.894694392129395,Continuous,NA
TODAY,ldlc,median,82,Continuous,NA
TODAY,ldlc,q25,68,Continuous,NA
TODAY,ldlc,q75,100,Continuous,NA
TODAY,ldlc,min,23,Continuous,NA
TODAY,ldlc,max,156,Continuous,NA
TODAY,ldlc,freq,337,Continuous,NA
TODAY,ldlc,missing,0,Continuous,NA
TODAY,hdlc,mean,38.87774480712166,Continuous,NA
TODAY,hdlc,sd,8.99953753541533,Continuous,NA
TODAY,hdlc,median,37,Continuous,NA
TODAY,hdlc,q25,33,Continuous,NA
TODAY,hdlc,q75,44,Continuous,NA
TODAY,hdlc,min,17,Continuous,NA
TODAY,hdlc,max,75,Continuous,NA
TODAY,hdlc,freq,337,Continuous,NA
TODAY,hdlc,missing,0,Continuous,NA
TODAY,totalc,mean,143.42433234421364,Continuous,NA
TODAY,totalc,sd,28.643660505028226,Continuous,NA
TODAY,totalc,median,142,Continuous,NA
TODAY,totalc,q25,124,Continuous,NA
TODAY,totalc,q75,160,Continuous,NA
TODAY,totalc,min,54,Continuous,NA
TODAY,totalc,max,242,Continuous,NA
TODAY,totalc,freq,337,Continuous,NA
TODAY,totalc,missing,0,Continuous,NA
TODAY,insulinf,mean,30.14084084084084,Continuous,NA
TODAY,insulinf,sd,22.16447856671189,Continuous,NA
TODAY,insulinf,median,25.3,Continuous,NA
TODAY,insulinf,q25,17.2,Continuous,NA
TODAY,insulinf,q75,36.6,Continuous,NA
TODAY,insulinf,min,2.2,Continuous,NA
TODAY,insulinf,max,202.5,Continuous,NA
TODAY,insulinf,freq,333,Continuous,NA
TODAY,insulinf,missing,4,Continuous,NA
TODAY,tgl,mean,107.70326409495549,Continuous,NA
TODAY,tgl,sd,67.06185680491927,Continuous,NA
TODAY,tgl,median,89,Continuous,NA
TODAY,tgl,q25,64,Continuous,NA
TODAY,tgl,q75,130,Continuous,NA
TODAY,tgl,min,27,Continuous,NA
TODAY,tgl,max,541,Continuous,NA
TODAY,tgl,freq,337,Continuous,NA
TODAY,tgl,missing,0,Continuous,NA
TODAY,glucosef,mean,106.45994065281899,Continuous,NA
TODAY,glucosef,sd,21.345911647059875,Continuous,NA
TODAY,glucosef,median,101,Continuous,NA
TODAY,glucosef,q25,92,Continuous,NA
TODAY,glucosef,q75,116,Continuous,NA
TODAY,glucosef,min,70,Continuous,NA
TODAY,glucosef,max,214,Continuous,NA
TODAY,glucosef,freq,337,Continuous,NA
TODAY,glucosef,missing,0,Continuous,NA
Total,bmi,mean,34.453950187666145,Continuous,NA
Total,bmi,sd,6.529149401619285,Continuous,NA
Total,bmi,median,33.7837,Continuous,NA
Total,bmi,q25,32,Continuous,NA
Total,bmi,q75,38,Continuous,NA
Total,bmi,min,16.192858663,Continuous,NA
Total,bmi,max,89.012019185,Continuous,NA
Total,bmi,freq,641,Continuous,NA
Total,bmi,missing,0,Continuous,NA
Total,hba1c,mean,6.554539781591264,Continuous,NA
Total,hba1c,sd,1.5897439304587948,Continuous,NA
Total,hba1c,median,6.1,Continuous,NA
Total,hba1c,q25,5.6,Continuous,NA
Total,hba1c,q75,7,Continuous,NA
Total,hba1c,min,4.3,Continuous,NA
Total,hba1c,max,15,Continuous,NA
Total,hba1c,freq,641,Continuous,NA
Total,hba1c,missing,0,Continuous,NA
Total,cpeptidef,mean,3.7594383775351012,Continuous,NA
Total,cpeptidef,sd,1.849248025303086,Continuous,NA
Total,cpeptidef,median,3.5,Continuous,NA
Total,cpeptidef,q25,2.54,Continuous,NA
Total,cpeptidef,q75,4.778,Continuous,NA
Total,cpeptidef,min,0.05,Continuous,NA
Total,cpeptidef,max,11.4,Continuous,NA
Total,cpeptidef,freq,641,Continuous,NA
Total,cpeptidef,missing,0,Continuous,NA
Total,sbp,mean,114.18855954244961,Continuous,NA
Total,sbp,sd,11.567626978465876,Continuous,NA
Total,sbp,median,113.5,Continuous,NA
Total,sbp,q25,106.5,Continuous,NA
Total,sbp,q75,121.33333333,Continuous,NA
Total,sbp,min,84.666666667,Continuous,NA
Total,sbp,max,156.5,Continuous,NA
Total,sbp,freq,641,Continuous,NA
Total,sbp,missing,0,Continuous,NA
Total,dbp,mean,68.7917316692624,Continuous,NA
Total,dbp,sd,9.713622804368132,Continuous,NA
Total,dbp,median,68.5,Continuous,NA
Total,dbp,q25,62,Continuous,NA
Total,dbp,q75,74.666666667,Continuous,NA
Total,dbp,min,42,Continuous,NA
Total,dbp,max,107.33333333,Continuous,NA
Total,dbp,freq,641,Continuous,NA
Total,dbp,missing,0,Continuous,NA
