study_cca,variable,est,value,type,group
Total,bmi,mean,31.822622011453067,Continuous,NA
Total,bmi,sd,8.139288063617172,Continuous,NA
Total,bmi,median,32,Continuous,NA
Total,bmi,q25,27.1214540765,Continuous,NA
Total,bmi,q75,37.2856138785,Continuous,NA
Total,bmi,min,13.695138501,Continuous,NA
Total,bmi,max,89.012019185,Continuous,NA
Total,bmi,freq,799,Continuous,NA
Total,bmi,missing,0,Continuous,NA
Total,hba1c,mean,6.566573816155989,Continuous,NA
Total,hba1c,sd,1.562664896331131,Continuous,NA
Total,hba1c,median,6.1,Continuous,NA
Total,hba1c,q25,5.6,Continuous,NA
Total,hba1c,q75,7.1,Continuous,NA
Total,hba1c,min,4.3,Continuous,NA
Total,hba1c,max,15,Continuous,NA
Total,hba1c,freq,718,Continuous,NA
Total,hba1c,missing,81,Continuous,NA
Total,cpeptidef,mean,3.5086808510638297,Continuous,NA
Total,cpeptidef,sd,1.969453472150379,Continuous,NA
Total,cpeptidef,median,3.3,Continuous,NA
Total,cpeptidef,q25,2.07,Continuous,NA
Total,cpeptidef,q75,4.61,Continuous,NA
Total,cpeptidef,min,0.05,Continuous,NA
Total,cpeptidef,max,11.4,Continuous,NA
Total,cpeptidef,freq,705,Continuous,NA
Total,cpeptidef,missing,94,Continuous,NA
Total,sbp,mean,112.72236286929494,Continuous,NA
Total,sbp,sd,11.962834671028098,Continuous,NA
Total,sbp,median,112,Continuous,NA
Total,sbp,q25,105,Continuous,NA
Total,sbp,q75,120,Continuous,NA
Total,sbp,min,80.666666667,Continuous,NA
Total,sbp,max,156.5,Continuous,NA
Total,sbp,freq,790,Continuous,NA
Total,sbp,missing,9,Continuous,NA
Total,dbp,mean,68.49746514575031,Continuous,NA
Total,dbp,sd,9.626667305059398,Continuous,NA
Total,dbp,median,68,Continuous,NA
Total,dbp,q25,61.5,Continuous,NA
Total,dbp,q75,74.666666667,Continuous,NA
Total,dbp,min,40,Continuous,NA
Total,dbp,max,107.33333333,Continuous,NA
Total,dbp,freq,789,Continuous,NA
Total,dbp,missing,10,Continuous,NA
Total,ldlc,mean,89.77951635846372,Continuous,NA
Total,ldlc,sd,27.513757890735885,Continuous,NA
Total,ldlc,median,87,Continuous,NA
Total,ldlc,q25,70.5,Continuous,NA
Total,ldlc,q75,107,Continuous,NA
Total,ldlc,min,23,Continuous,NA
Total,ldlc,max,231,Continuous,NA
Total,ldlc,freq,703,Continuous,NA
Total,ldlc,missing,96,Continuous,NA
Total,hdlc,mean,40.58036984352774,Continuous,NA
Total,hdlc,sd,10.415663822074611,Continuous,NA
Total,hdlc,median,39,Continuous,NA
Total,hdlc,q25,33,Continuous,NA
Total,hdlc,q75,46,Continuous,NA
Total,hdlc,min,13,Continuous,NA
Total,hdlc,max,81,Continuous,NA
Total,hdlc,freq,703,Continuous,NA
Total,hdlc,missing,96,Continuous,NA
Total,totalc,mean,153.9943181818182,Continuous,NA
Total,totalc,sd,35.00526230045494,Continuous,NA
Total,totalc,median,150.5,Continuous,NA
Total,totalc,q25,130,Continuous,NA
Total,totalc,q75,174,Continuous,NA
Total,totalc,min,54,Continuous,NA
Total,totalc,max,330,Continuous,NA
Total,totalc,freq,704,Continuous,NA
Total,totalc,missing,95,Continuous,NA
Total,insulinf,mean,30.14084084084084,Continuous,NA
Total,insulinf,sd,22.16447856671189,Continuous,NA
Total,insulinf,median,25.3,Continuous,NA
Total,insulinf,q25,17.2,Continuous,NA
Total,insulinf,q75,36.6,Continuous,NA
Total,insulinf,min,2.2,Continuous,NA
Total,insulinf,max,202.5,Continuous,NA
Total,insulinf,freq,333,Continuous,NA
Total,insulinf,missing,466,Continuous,NA
Total,tgl,mean,107.70326409495549,Continuous,NA
Total,tgl,sd,67.06185680491927,Continuous,NA
Total,tgl,median,89,Continuous,NA
Total,tgl,q25,64,Continuous,NA
Total,tgl,q75,130,Continuous,NA
Total,tgl,min,27,Continuous,NA
Total,tgl,max,541,Continuous,NA
Total,tgl,freq,337,Continuous,NA
Total,tgl,missing,462,Continuous,NA
Total,glucosef,mean,106.45994065281899,Continuous,NA
Total,glucosef,sd,21.345911647059875,Continuous,NA
Total,glucosef,median,101,Continuous,NA
Total,glucosef,q25,92,Continuous,NA
Total,glucosef,q75,116,Continuous,NA
Total,glucosef,min,70,Continuous,NA
Total,glucosef,max,214,Continuous,NA
Total,glucosef,freq,337,Continuous,NA
Total,glucosef,missing,462,Continuous,NA
search_excluded,bmi,mean,22.429907138714285,Continuous,NA
search_excluded,bmi,sd,4.972575264780274,Continuous,NA
search_excluded,bmi,median,21.929815057,Continuous,NA
search_excluded,bmi,q25,18.228917297,Continuous,NA
search_excluded,bmi,q75,24.507678546,Continuous,NA
search_excluded,bmi,min,16.160107457,Continuous,NA
search_excluded,bmi,max,37.416346936,Continuous,NA
search_excluded,bmi,freq,77,Continuous,NA
search_excluded,bmi,missing,0,Continuous,NA
search_excluded,hba1c,mean,NA,Continuous,NA
search_excluded,hba1c,sd,NA,Continuous,NA
search_excluded,hba1c,median,NA,Continuous,NA
search_excluded,hba1c,q25,NA,Continuous,NA
search_excluded,hba1c,q75,NA,Continuous,NA
search_excluded,hba1c,min,Inf,Continuous,NA
search_excluded,hba1c,max,-Inf,Continuous,NA
search_excluded,hba1c,freq,0,Continuous,NA
search_excluded,hba1c,missing,77,Continuous,NA
search_excluded,cpeptidef,mean,NA,Continuous,NA
search_excluded,cpeptidef,sd,NA,Continuous,NA
search_excluded,cpeptidef,median,NA,Continuous,NA
search_excluded,cpeptidef,q25,NA,Continuous,NA
search_excluded,cpeptidef,q75,NA,Continuous,NA
search_excluded,cpeptidef,min,Inf,Continuous,NA
search_excluded,cpeptidef,max,-Inf,Continuous,NA
search_excluded,cpeptidef,freq,0,Continuous,NA
search_excluded,cpeptidef,missing,77,Continuous,NA
search_excluded,sbp,mean,106.99999999997334,Continuous,NA
search_excluded,sbp,sd,11.782692045182994,Continuous,NA
search_excluded,sbp,median,108.66666667,Continuous,NA
search_excluded,sbp,q25,100.33333333499999,Continuous,NA
search_excluded,sbp,q75,112,Continuous,NA
search_excluded,sbp,min,80.666666667,Continuous,NA
search_excluded,sbp,max,138,Continuous,NA
search_excluded,sbp,freq,75,Continuous,NA
search_excluded,sbp,missing,2,Continuous,NA
