term,estimate,std.error,statistic,p.value,outcome
(Intercept),-2.5383570404507383,0.34874537666171435,52.97713896345404,3.375077994860476e-13,survey_abnormal
clusterySIDD,-0.11057764741389804,0.34891699572513146,0.10043623934445124,0.7513067565388862,survey_abnormal
clusterySIRD,0.16310312933190851,0.27094325083590237,0.3623830806582669,0.5471857031802075,survey_abnormal
age_category>15,0.5700329023540346,0.28697588236889804,3.945563597479108,0.046995109100686494,survey_abnormal
age_category14-15,0.3799592876479463,0.3363029857544459,1.2764760873165333,0.2585552768325182,survey_abnormal
female,0.24450209606468373,0.26391749723257457,0.8582796294298508,0.3542205732485838,survey_abnormal
race_ethNH Black,0.16545464183441794,0.29202886409364776,0.3210009762878773,0.5710067149663847,survey_abnormal
race_ethHispanic,-0.7961406629381846,0.3778823040276179,4.4388094592281915,0.03513073741628381,survey_abnormal
race_ethNH Other,-0.24786981465551366,0.4981591437491891,0.2475774420827593,0.6187860641504422,survey_abnormal
(Intercept),-1.6715669848144634,0.20455424885293746,66.77756212087108,3.3306690738754696e-16,exam_abnormal
clusterySIDD,0.976262444362051,0.18054109525514048,29.240245870541177,6.393727780551473e-8,exam_abnormal
clusterySIRD,0.6337594992505045,0.17809909405871194,12.66267741245367,3.730276374414032e-4,exam_abnormal
age_category>15,0.4027174057848317,0.1413273906030468,8.119852127790415,0.004378312995631406,exam_abnormal
age_category14-15,-0.5012278722052164,0.23623646230307888,4.501700166577995,0.0338611708081914,exam_abnormal
female,-0.1049083599556868,0.1381059682830981,0.5770258921819682,0.4474804431389344,exam_abnormal
race_ethNH Black,0.1834869163949478,0.15322957979041124,1.4339202010467849,0.2311257236078017,exam_abnormal
race_ethHispanic,-0.3853614104865476,0.21296820413272421,3.2742128485146,0.0703766799283182,exam_abnormal
race_ethNH Other,-0.3672131994059341,0.32813101305535936,1.252396969896507,0.26309516237500985,exam_abnormal
(Intercept),-1.4234881680332496,0.17317963525712227,67.56380224344957,2.220446049250313e-16,combined_abnormal
clusterySIDD,0.7120390031466031,0.15305611811799613,21.642437813821477,3.285025679922171e-6,combined_abnormal
clusterySIRD,0.5063651986126962,0.14556235480923393,12.101231088806344,5.038854316496977e-4,combined_abnormal
age_category>15,0.3350515377203725,0.12550000353386237,7.127475856365385,0.00759115178929104,combined_abnormal
age_category14-15,-0.30632474761715134,0.18986498426648826,2.603001470638495,0.10666154179962262,combined_abnormal
female,0.006462989732475275,0.12127463190226562,0.0028400566422449093,0.9574991093619912,combined_abnormal
race_ethNH Black,0.1291096066792764,0.13426529092505,0.9246760342967205,0.3362501862892284,combined_abnormal
race_ethHispanic,-0.3495083467069576,0.18199068266746365,3.6882198022116652,0.054798073363210964,combined_abnormal
race_ethNH Other,-0.14407707333901773,0.2574530129226614,0.31317984057730164,0.5757354317858122,combined_abnormal
