variable,group,Total,yMOD,ySIDD,ySIRD
bmi,NA,32.8 (7.8),33.3 (4.3),38.5 (7.2),24 (6.1)
hba1c,NA,"6.1 (5.6, 7.1)","5.8 (5.4, 6.3)","6.2 (5.8, 7.3)","7.3 (6.3, 8.5)"
cpeptidef,NA,3.5 (2),3.5 (1.5),5 (1.8),1.5 (1)
sbp,NA,113.3 (11.8),109.1 (9.2),123.3 (9.7),108.3 (10.8)
dbp,NA,68.6 (9.7),64.1 (7.3),75.8 (9.2),68.2 (8.8)
ldlc,NA,89.7 (27.2),82.1 (23.9),97.5 (28.9),94.8 (27)
hdlc,NA,40.7 (10.4),37.8 (7.6),37.1 (8.2),51.8 (10.8)
totalc,NA,154 (35),141.9 (30.1),164.6 (37.9),165 (32.3)
insulinf,NA,30.1 (22.2),25.4 (18),43.1 (27.2),21.9 (10)
tgl,NA,107.7 (67.1),99.9 (57.2),131.6 (85.2),76.9 (34)
glucosef,NA,106.5 (21.3),102.3 (18.3),114 (23.7),124.8 (28.8)
female,NA,722 (56.5%),338 (62.4%),224 (54%),160 (47.5%)
insulin,NA,719 (31.4%),337 (13.6%),223 (25.6%),159 (77.4%)
metformin,NA,719 (74.5%),337 (88.4%),223 (85.2%),159 (30.2%)
cluster,Total,NA,NA,NA,NA
cluster,yMOD,NA,NA,NA,NA
cluster,ySIDD,NA,NA,NA,NA
cluster,ySIRD,NA,NA,NA,NA
study,SEARCH,385 (53.3%),108 (32%),131 (58.5%),146 (91.2%)
study,TODAY,337 (46.7%),230 (68%),93 (41.5%),14 (8.8%)
dmduration_category,<=5 months,722 (100%),338 (100%),224 (100%),160 (100%)
age_category,14-15,157 (21.7%),75 (22.2%),50 (22.3%),32 (20%)
age_category,<=13,294 (40.7%),132 (39.1%),87 (38.8%),75 (46.9%)
age_category,>15,271 (37.5%),131 (38.8%),87 (38.8%),53 (33.1%)
race_eth,Hispanic,221 (30.6%),130 (38.5%),61 (27.2%),30 (18.8%)
race_eth,NH Black,217 (30.1%),91 (26.9%),87 (38.8%),39 (24.4%)
race_eth,NH Other,58 (8%),29 (8.6%),19 (8.5%),10 (6.2%)
race_eth,NH White,226 (31.3%),88 (26%),57 (25.4%),81 (50.6%)
bmipct,<98.5,359 (49.7%),176 (52.1%),34 (15.2%),149 (93.1%)
bmipct,>=98.5,363 (50.3%),162 (47.9%),190 (84.8%),11 (6.9%)
