variable,group,Total,SEARCH,TODAY
bmi,NA,32.8 (7.8),31.3 (10.1),34.5 (2.6)
hba1c,NA,"6.1 (5.6, 7.1)","6.6 (5.8, 8.1)","5.9 (5.4, 6.3)"
cpeptidef,NA,3.5 (2),3.2 (2.2),3.8 (1.6)
sbp,NA,113.3 (11.8),113.5 (12.7),113 (10.7)
dbp,NA,68.6 (9.7),70.3 (10.2),66.7 (8.6)
ldlc,NA,89.7 (27.2),95.2 (28.7),83.4 (23.9)
hdlc,NA,40.7 (10.4),42.3 (11.3),38.9 (9)
totalc,NA,154 (35),163.7 (37.5),143.4 (28.6)
insulinf,NA,30.1 (22.2),NA (NA),30.1 (22.2)
tgl,NA,107.7 (67.1),NA (NA),107.7 (67.1)
glucosef,NA,106.5 (21.3),NA (NA),106.5 (21.3)
female,NA,722 (56.5%),385 (53.2%),337 (60.2%)
insulin,NA,719 (31.4%),382 (59.2%),337 (0%)
metformin,NA,719 (74.5%),382 (52.1%),337 (100%)
cluster,yMOD,338 (46.8%),108 (28.1%),230 (68.2%)
cluster,ySIDD,224 (31%),131 (34%),93 (27.6%)
cluster,ySIRD,160 (22.2%),146 (37.9%),14 (4.2%)
study,SEARCH,NA,NA,NA
study,TODAY,NA,NA,NA
study,Total,NA,NA,NA
dmduration_category,<=5 months,722 (100%),385 (100%),337 (100%)
age_category,14-15,157 (21.7%),54 (14%),103 (30.6%)
age_category,<=13,294 (40.7%),157 (40.8%),137 (40.7%)
age_category,>15,271 (37.5%),174 (45.2%),97 (28.8%)
race_eth,Hispanic,221 (30.6%),80 (20.8%),141 (41.8%)
race_eth,NH Black,217 (30.1%),124 (32.2%),93 (27.6%)
race_eth,NH Other,58 (8%),29 (7.5%),29 (8.6%)
race_eth,NH White,226 (31.3%),152 (39.5%),74 (22%)
bmipct,<98.5,359 (49.7%),216 (56.1%),143 (42.4%)
bmipct,>=98.5,363 (50.3%),169 (43.9%),194 (57.6%)
