study_cca,variable,est,value,type,group
Total,bmi,mean,32.9360515959677,Continuous,NA
Total,bmi,sd,7.654562810686399,Continuous,NA
Total,bmi,median,32.5528,Continuous,NA
Total,bmi,q25,31.307460705,Continuous,NA
Total,bmi,q75,37.9585,Continuous,NA
Total,bmi,min,13.695138501,Continuous,NA
Total,bmi,max,89.012019185,Continuous,NA
Total,bmi,freq,681,Continuous,NA
Total,bmi,missing,0,Continuous,NA
Total,hba1c,mean,6.53230543318649,Continuous,NA
Total,hba1c,sd,1.5498913057097117,Continuous,NA
Total,hba1c,median,6.1,Continuous,NA
Total,hba1c,q25,5.5,Continuous,NA
Total,hba1c,q75,7,Continuous,NA
Total,hba1c,min,4.3,Continuous,NA
Total,hba1c,max,15,Continuous,NA
Total,hba1c,freq,681,Continuous,NA
Total,hba1c,missing,0,Continuous,NA
Total,cpeptidef,mean,3.5222525697503673,Continuous,NA
Total,cpeptidef,sd,1.943121371794998,Continuous,NA
Total,cpeptidef,median,3.3,Continuous,NA
Total,cpeptidef,q25,2.16,Continuous,NA
Total,cpeptidef,q75,4.6,Continuous,NA
Total,cpeptidef,min,0.05,Continuous,NA
Total,cpeptidef,max,11.4,Continuous,NA
Total,cpeptidef,freq,681,Continuous,NA
Total,cpeptidef,missing,0,Continuous,NA
Total,sbp,mean,113.29818893793598,Continuous,NA
Total,sbp,sd,11.731221887682237,Continuous,NA
Total,sbp,median,112.66666667,Continuous,NA
Total,sbp,q25,105.66666667,Continuous,NA
Total,sbp,q75,120.66666667,Continuous,NA
Total,sbp,min,81.333333333,Continuous,NA
Total,sbp,max,156.5,Continuous,NA
Total,sbp,freq,681,Continuous,NA
Total,sbp,missing,0,Continuous,NA
Total,dbp,mean,68.5274106705812,Continuous,NA
Total,dbp,sd,9.703673206229594,Continuous,NA
Total,dbp,median,68,Continuous,NA
Total,dbp,q25,61.5,Continuous,NA
Total,dbp,q75,74.666666667,Continuous,NA
Total,dbp,min,40,Continuous,NA
Total,dbp,max,107.33333333,Continuous,NA
Total,dbp,freq,681,Continuous,NA
Total,dbp,missing,0,Continuous,NA
Total,ldlc,mean,89.51483113069015,Continuous,NA
Total,ldlc,sd,27.229502280063265,Continuous,NA
Total,ldlc,median,87,Continuous,NA
Total,ldlc,q25,71,Continuous,NA
Total,ldlc,q75,106,Continuous,NA
Total,ldlc,min,23,Continuous,NA
Total,ldlc,max,231,Continuous,NA
Total,ldlc,freq,681,Continuous,NA
Total,ldlc,missing,0,Continuous,NA
Total,hdlc,mean,40.60117474302496,Continuous,NA
Total,hdlc,sd,10.494469065697919,Continuous,NA
Total,hdlc,median,39,Continuous,NA
Total,hdlc,q25,33,Continuous,NA
Total,hdlc,q75,46,Continuous,NA
Total,hdlc,min,13,Continuous,NA
Total,hdlc,max,81,Continuous,NA
Total,hdlc,freq,681,Continuous,NA
Total,hdlc,missing,0,Continuous,NA
Total,totalc,mean,153.69277108433735,Continuous,NA
Total,totalc,sd,35.368376542864326,Continuous,NA
Total,totalc,median,150,Continuous,NA
Total,totalc,q25,129,Continuous,NA
Total,totalc,q75,174,Continuous,NA
Total,totalc,min,54,Continuous,NA
Total,totalc,max,330,Continuous,NA
Total,totalc,freq,664,Continuous,NA
Total,totalc,missing,17,Continuous,NA
Total,insulinf,mean,30.14084084084084,Continuous,NA
Total,insulinf,sd,22.16447856671189,Continuous,NA
Total,insulinf,median,25.3,Continuous,NA
Total,insulinf,q25,17.2,Continuous,NA
Total,insulinf,q75,36.6,Continuous,NA
Total,insulinf,min,2.2,Continuous,NA
Total,insulinf,max,202.5,Continuous,NA
Total,insulinf,freq,333,Continuous,NA
Total,insulinf,missing,348,Continuous,NA
Total,tgl,mean,107.70326409495549,Continuous,NA
Total,tgl,sd,67.06185680491927,Continuous,NA
Total,tgl,median,89,Continuous,NA
Total,tgl,q25,64,Continuous,NA
Total,tgl,q75,130,Continuous,NA
Total,tgl,min,27,Continuous,NA
Total,tgl,max,541,Continuous,NA
Total,tgl,freq,337,Continuous,NA
Total,tgl,missing,344,Continuous,NA
Total,glucosef,mean,106.45994065281899,Continuous,NA
Total,glucosef,sd,21.345911647059875,Continuous,NA
Total,glucosef,median,101,Continuous,NA
Total,glucosef,q25,92,Continuous,NA
Total,glucosef,q75,116,Continuous,NA
Total,glucosef,min,70,Continuous,NA
Total,glucosef,max,214,Continuous,NA
Total,glucosef,freq,337,Continuous,NA
Total,glucosef,missing,344,Continuous,NA
search_excluded,bmi,mean,31.36897568852907,Continuous,NA
search_excluded,bmi,sd,10.224356277356208,Continuous,NA
search_excluded,bmi,median,31.377592346500002,Continuous,NA
search_excluded,bmi,q25,23.642638869,Continuous,NA
search_excluded,bmi,q75,37.48321126975,Continuous,NA
search_excluded,bmi,min,13.695138501,Continuous,NA
search_excluded,bmi,max,89.012019185,Continuous,NA
search_excluded,bmi,freq,344,Continuous,NA
search_excluded,bmi,missing,0,Continuous,NA
search_excluded,hba1c,mean,7.139244186046511,Continuous,NA
search_excluded,hba1c,sd,1.887214773682878,Continuous,NA
search_excluded,hba1c,median,6.5,Continuous,NA
search_excluded,hba1c,q25,5.8,Continuous,NA
search_excluded,hba1c,q75,8.1,Continuous,NA
search_excluded,hba1c,min,4.6,Continuous,NA
search_excluded,hba1c,max,15,Continuous,NA
search_excluded,hba1c,freq,344,Continuous,NA
search_excluded,hba1c,missing,0,Continuous,NA
search_excluded,cpeptidef,mean,3.2512093023255813,Continuous,NA
search_excluded,cpeptidef,sd,2.2280097414418685,Continuous,NA
search_excluded,cpeptidef,median,3.0149999999999997,Continuous,NA
search_excluded,cpeptidef,q25,1.4300000000000002,Continuous,NA
search_excluded,cpeptidef,q75,4.577500000000001,Continuous,NA
search_excluded,cpeptidef,min,0.05,Continuous,NA
search_excluded,cpeptidef,max,11.4,Continuous,NA
search_excluded,cpeptidef,freq,344,Continuous,NA
search_excluded,cpeptidef,missing,0,Continuous,NA
search_excluded,sbp,mean,113.55251938004186,Continuous,NA
search_excluded,sbp,sd,12.701920410103217,Continuous,NA
search_excluded,sbp,median,112.66666667,Continuous,NA
search_excluded,sbp,q25,105.33333333,Continuous,NA
search_excluded,sbp,q75,120.66666667,Continuous,NA
search_excluded,sbp,min,81.333333333,Continuous,NA
search_excluded,sbp,max,150.66666667,Continuous,NA
search_excluded,sbp,freq,344,Continuous,NA
search_excluded,sbp,missing,0,Continuous,NA
search_excluded,dbp,mean,70.336240310075,Continuous,NA
search_excluded,dbp,sd,10.3563737900857,Continuous,NA
search_excluded,dbp,median,70,Continuous,NA
search_excluded,dbp,q25,63.16666666650001,Continuous,NA
search_excluded,dbp,q75,77.333333333,Continuous,NA
search_excluded,dbp,min,40,Continuous,NA
search_excluded,dbp,max,107.33333333,Continuous,NA
search_excluded,dbp,freq,344,Continuous,NA
search_excluded,dbp,missing,0,Continuous,NA
search_excluded,ldlc,mean,95.49418604651163,Continuous,NA
search_excluded,ldlc,sd,28.950972348414112,Continuous,NA
search_excluded,ldlc,median,94,Continuous,NA
search_excluded,ldlc,q25,73.44999999999999,Continuous,NA
search_excluded,ldlc,q75,112,Continuous,NA
search_excluded,ldlc,min,36,Continuous,NA
search_excluded,ldlc,max,231,Continuous,NA
search_excluded,ldlc,freq,344,Continuous,NA
search_excluded,ldlc,missing,0,Continuous,NA
search_excluded,hdlc,mean,42.28953488372093,Continuous,NA
search_excluded,hdlc,sd,11.542327014193008,Continuous,NA
search_excluded,hdlc,median,41,Continuous,NA
search_excluded,hdlc,q25,34,Continuous,NA
search_excluded,hdlc,q75,49,Continuous,NA
search_excluded,hdlc,min,13,Continuous,NA
search_excluded,hdlc,max,81,Continuous,NA
search_excluded,hdlc,freq,344,Continuous,NA
search_excluded,hdlc,missing,0,Continuous,NA
search_excluded,totalc,mean,164.27522935779817,Continuous,NA
search_excluded,totalc,sd,38.43300398844811,Continuous,NA
search_excluded,totalc,median,159,Continuous,NA
search_excluded,totalc,q25,138,Continuous,NA
search_excluded,totalc,q75,185,Continuous,NA
search_excluded,totalc,min,88,Continuous,NA
search_excluded,totalc,max,330,Continuous,NA
search_excluded,totalc,freq,327,Continuous,NA
search_excluded,totalc,missing,17,Continuous,NA
search_excluded,insulinf,mean,NA,Continuous,NA
search_excluded,insulinf,sd,NA,Continuous,NA
search_excluded,insulinf,median,NA,Continuous,NA
search_excluded,insulinf,q25,NA,Continuous,NA
search_excluded,insulinf,q75,NA,Continuous,NA
search_excluded,insulinf,min,Inf,Continuous,NA
search_excluded,insulinf,max,-Inf,Continuous,NA
search_excluded,insulinf,freq,0,Continuous,NA
search_excluded,insulinf,missing,344,Continuous,NA
search_excluded,tgl,mean,NA,Continuous,NA
search_excluded,tgl,sd,NA,Continuous,NA
search_excluded,tgl,median,NA,Continuous,NA
search_excluded,tgl,q25,NA,Continuous,NA
search_excluded,tgl,q75,NA,Continuous,NA
search_excluded,tgl,min,Inf,Continuous,NA
search_excluded,tgl,max,-Inf,Continuous,NA
search_excluded,tgl,freq,0,Continuous,NA
search_excluded,tgl,missing,344,Continuous,NA
search_excluded,glucosef,mean,NA,Continuous,NA
search_excluded,glucosef,sd,NA,Continuous,NA
search_excluded,glucosef,median,NA,Continuous,NA
search_excluded,glucosef,q25,NA,Continuous,NA
search_excluded,glucosef,q75,NA,Continuous,NA
search_excluded,glucosef,min,Inf,Continuous,NA
search_excluded,glucosef,max,-Inf,Continuous,NA
search_excluded,glucosef,freq,0,Continuous,NA
search_excluded,glucosef,missing,344,Continuous,NA
today_excluded,bmi,mean,32,Continuous,NA
today_excluded,bmi,sd,0,Continuous,NA
today_excluded,bmi,median,32,Continuous,NA
today_excluded,bmi,q25,32,Continuous,NA
today_excluded,bmi,q75,32,Continuous,NA
today_excluded,bmi,min,32,Continuous,NA
today_excluded,bmi,max,32,Continuous,NA
today_excluded,bmi,freq,2,Continuous,NA
today_excluded,bmi,missing,0,Continuous,NA
today_excluded,hba1c,mean,5.8,Continuous,NA
today_excluded,hba1c,sd,0.2828427124746193,Continuous,NA
today_excluded,hba1c,median,5.8,Continuous,NA
today_excluded,hba1c,q25,5.699999999999999,Continuous,NA
today_excluded,hba1c,q75,5.9,Continuous,NA
today_excluded,hba1c,min,5.6,Continuous,NA
today_excluded,hba1c,max,6,Continuous,NA
today_excluded,hba1c,freq,2,Continuous,NA
today_excluded,hba1c,missing,0,Continuous,NA
today_excluded,cpeptidef,mean,2.944,Continuous,NA
today_excluded,cpeptidef,sd,0.2319310242291878,Continuous,NA
today_excluded,cpeptidef,median,2.944,Continuous,NA
today_excluded,cpeptidef,q25,2.862,Continuous,NA
today_excluded,cpeptidef,q75,3.026,Continuous,NA
today_excluded,cpeptidef,min,2.78,Continuous,NA
today_excluded,cpeptidef,max,3.108,Continuous,NA
today_excluded,cpeptidef,freq,2,Continuous,NA
today_excluded,cpeptidef,missing,0,Continuous,NA
today_excluded,sbp,mean,108.5,Continuous,NA
today_excluded,sbp,sd,14.142135623730951,Continuous,NA
today_excluded,sbp,median,108.5,Continuous,NA
today_excluded,sbp,q25,103.5,Continuous,NA
today_excluded,sbp,q75,113.5,Continuous,NA
today_excluded,sbp,min,98.5,Continuous,NA
today_excluded,sbp,max,118.5,Continuous,NA
today_excluded,sbp,freq,2,Continuous,NA
today_excluded,sbp,missing,0,Continuous,NA
today_excluded,dbp,mean,61.75,Continuous,NA
today_excluded,dbp,sd,0.3535533905932738,Continuous,NA
today_excluded,dbp,median,61.75,Continuous,NA
today_excluded,dbp,q25,61.625,Continuous,NA
today_excluded,dbp,q75,61.875,Continuous,NA
today_excluded,dbp,min,61.5,Continuous,NA
today_excluded,dbp,max,62,Continuous,NA
today_excluded,dbp,freq,2,Continuous,NA
today_excluded,dbp,missing,0,Continuous,NA
today_excluded,ldlc,mean,82.3,Continuous,NA
today_excluded,ldlc,sd,5.232590180780456,Continuous,NA
today_excluded,ldlc,median,82.3,Continuous,NA
today_excluded,ldlc,q25,80.44999999999999,Continuous,NA
today_excluded,ldlc,q75,84.15,Continuous,NA
today_excluded,ldlc,min,78.6,Continuous,NA
today_excluded,ldlc,max,86,Continuous,NA
today_excluded,ldlc,freq,2,Continuous,NA
today_excluded,ldlc,missing,0,Continuous,NA
today_excluded,hdlc,mean,39.9,Continuous,NA
today_excluded,hdlc,sd,12.869343417595164,Continuous,NA
today_excluded,hdlc,median,39.9,Continuous,NA
today_excluded,hdlc,q25,35.35,Continuous,NA
today_excluded,hdlc,q75,44.45,Continuous,NA
today_excluded,hdlc,min,30.8,Continuous,NA
today_excluded,hdlc,max,49,Continuous,NA
today_excluded,hdlc,freq,2,Continuous,NA
today_excluded,hdlc,missing,0,Continuous,NA
today_excluded,totalc,mean,120.5,Continuous,NA
today_excluded,totalc,sd,41.71930009000631,Continuous,NA
today_excluded,totalc,median,120.5,Continuous,NA
today_excluded,totalc,q25,105.75,Continuous,NA
today_excluded,totalc,q75,135.25,Continuous,NA
today_excluded,totalc,min,91,Continuous,NA
today_excluded,totalc,max,150,Continuous,NA
today_excluded,totalc,freq,2,Continuous,NA
today_excluded,totalc,missing,0,Continuous,NA
today_excluded,insulinf,mean,21.3,Continuous,NA
today_excluded,insulinf,sd,NA,Continuous,NA
today_excluded,insulinf,median,21.3,Continuous,NA
today_excluded,insulinf,q25,21.3,Continuous,NA
today_excluded,insulinf,q75,21.3,Continuous,NA
today_excluded,insulinf,min,21.3,Continuous,NA
today_excluded,insulinf,max,21.3,Continuous,NA
today_excluded,insulinf,freq,1,Continuous,NA
today_excluded,insulinf,missing,1,Continuous,NA
today_excluded,tgl,mean,52,Continuous,NA
today_excluded,tgl,sd,31.11269837220809,Continuous,NA
today_excluded,tgl,median,52,Continuous,NA
today_excluded,tgl,q25,41,Continuous,NA
today_excluded,tgl,q75,63,Continuous,NA
today_excluded,tgl,min,30,Continuous,NA
today_excluded,tgl,max,74,Continuous,NA
today_excluded,tgl,freq,2,Continuous,NA
today_excluded,tgl,missing,0,Continuous,NA
today_excluded,glucosef,mean,123,Continuous,NA
today_excluded,glucosef,sd,1.4142135623730951,Continuous,NA
today_excluded,glucosef,median,123,Continuous,NA
today_excluded,glucosef,q25,122.5,Continuous,NA
today_excluded,glucosef,q75,123.5,Continuous,NA
today_excluded,glucosef,min,122,Continuous,NA
today_excluded,glucosef,max,124,Continuous,NA
today_excluded,glucosef,freq,2,Continuous,NA
today_excluded,glucosef,missing,0,Continuous,NA
today_included,bmi,mean,34.55081641791045,Continuous,NA
today_included,bmi,sd,2.6049314474180716,Continuous,NA
today_included,bmi,median,33.7837,Continuous,NA
today_included,bmi,q25,32,Continuous,NA
today_included,bmi,q75,38,Continuous,NA
today_included,bmi,min,32,Continuous,NA
today_included,bmi,max,38,Continuous,NA
today_included,bmi,freq,335,Continuous,NA
today_included,bmi,missing,0,Continuous,NA
today_included,hba1c,mean,5.913432835820895,Continuous,NA
today_included,hba1c,sd,0.6826979593561123,Continuous,NA
today_included,hba1c,median,5.9,Continuous,NA
today_included,hba1c,q25,5.4,Continuous,NA
today_included,hba1c,q75,6.3,Continuous,NA
today_included,hba1c,min,4.3,Continuous,NA
today_included,hba1c,max,7.9,Continuous,NA
today_included,hba1c,freq,335,Continuous,NA
today_included,hba1c,missing,0,Continuous,NA
