cluster,variable,est,value,type,group
Total,bmi,mean,34.553375156253125,Continuous,NA
Total,bmi,sd,6.463222834037052,Continuous,NA
Total,bmi,median,33.906100743,Continuous,NA
Total,bmi,q25,32,Continuous,NA
Total,bmi,q75,38,Continuous,NA
Total,bmi,min,16.404171149,Continuous,NA
Total,bmi,max,89.012019185,Continuous,NA
Total,bmi,freq,640,Continuous,NA
Total,bmi,missing,0,Continuous,NA
Total,hba1c,mean,6.44059375,Continuous,NA
Total,hba1c,sd,1.4506691426590779,Continuous,NA
Total,hba1c,median,6,Continuous,NA
Total,hba1c,q25,5.5,Continuous,NA
Total,hba1c,q75,6.8,Continuous,NA
Total,hba1c,min,4.3,Continuous,NA
Total,hba1c,max,12.8,Continuous,NA
Total,hba1c,freq,640,Continuous,NA
Total,hba1c,missing,0,Continuous,NA
Total,cpeptidef,mean,3.78130625,Continuous,NA
Total,cpeptidef,sd,1.834091170715373,Continuous,NA
Total,cpeptidef,median,3.5,Continuous,NA
Total,cpeptidef,q25,2.5549999999999997,Continuous,NA
Total,cpeptidef,q75,4.8,Continuous,NA
Total,cpeptidef,min,0.11,Continuous,NA
Total,cpeptidef,max,11.4,Continuous,NA
Total,cpeptidef,freq,640,Continuous,NA
Total,cpeptidef,missing,0,Continuous,NA
Total,sbp,mean,114.2696875001022,Continuous,NA
Total,sbp,sd,11.60201677113281,Continuous,NA
Total,sbp,median,113.5,Continuous,NA
Total,sbp,q25,106.66666667,Continuous,NA
Total,sbp,q75,121.33333333,Continuous,NA
Total,sbp,min,79.333333333,Continuous,NA
Total,sbp,max,156.5,Continuous,NA
Total,sbp,freq,640,Continuous,NA
Total,sbp,missing,0,Continuous,NA
Total,dbp,mean,69.04359374999343,Continuous,NA
Total,dbp,sd,9.7500148567718945,Continuous,NA
Total,dbp,median,68.666666667,Continuous,NA
Total,dbp,q25,62,Continuous,NA
Total,dbp,q75,75,Continuous,NA
Total,dbp,min,42,Continuous,NA
Total,dbp,max,107.33333333,Continuous,NA
Total,dbp,freq,640,Continuous,NA
Total,dbp,missing,0,Continuous,NA
Total,ldlc,mean,91.0846875,Continuous,NA
Total,ldlc,sd,28.233566686696047,Continuous,NA
Total,ldlc,median,88,Continuous,NA
Total,ldlc,q25,71,Continuous,NA
Total,ldlc,q75,108,Continuous,NA
Total,ldlc,min,23,Continuous,NA
Total,ldlc,max,231,Continuous,NA
Total,ldlc,freq,640,Continuous,NA
Total,ldlc,missing,0,Continuous,NA
Total,hdlc,mean,39.2109375,Continuous,NA
Total,hdlc,sd,9.171286367920807,Continuous,NA
Total,hdlc,median,38,Continuous,NA
Total,hdlc,q25,33,Continuous,NA
Total,hdlc,q75,44,Continuous,NA
Total,hdlc,min,15,Continuous,NA
Total,hdlc,max,75,Continuous,NA
Total,hdlc,freq,640,Continuous,NA
Total,hdlc,missing,0,Continuous,NA
Total,totalc,mean,155.1109350237718,Continuous,NA
Total,totalc,sd,36.24436977728974,Continuous,NA
Total,totalc,median,151,Continuous,NA
Total,totalc,q25,130,Continuous,NA
Total,totalc,q75,176.5,Continuous,NA
Total,totalc,min,54,Continuous,NA
Total,totalc,max,330,Continuous,NA
Total,totalc,freq,631,Continuous,NA
Total,totalc,missing,9,Continuous,NA
Total,insulinf,mean,30.14084084084084,Continuous,NA
Total,insulinf,sd,22.16447856671189,Continuous,NA
Total,insulinf,median,25.3,Continuous,NA
Total,insulinf,q25,17.2,Continuous,NA
Total,insulinf,q75,36.6,Continuous,NA
Total,insulinf,min,2.2,Continuous,NA
Total,insulinf,max,202.5,Continuous,NA
Total,insulinf,freq,333,Continuous,NA
Total,insulinf,missing,307,Continuous,NA
Total,tgl,mean,107.70326409495549,Continuous,NA
Total,tgl,sd,67.06185680491927,Continuous,NA
Total,tgl,median,89,Continuous,NA
Total,tgl,q25,64,Continuous,NA
Total,tgl,q75,130,Continuous,NA
Total,tgl,min,27,Continuous,NA
Total,tgl,max,541,Continuous,NA
Total,tgl,freq,337,Continuous,NA
Total,tgl,missing,303,Continuous,NA
Total,glucosef,mean,106.45994065281899,Continuous,NA
Total,glucosef,sd,21.345911647059875,Continuous,NA
Total,glucosef,median,101,Continuous,NA
Total,glucosef,q25,92,Continuous,NA
Total,glucosef,q75,116,Continuous,NA
Total,glucosef,min,70,Continuous,NA
Total,glucosef,max,214,Continuous,NA
Total,glucosef,freq,337,Continuous,NA
Total,glucosef,missing,303,Continuous,NA
yIDD,bmi,mean,30.512112596864284,Continuous,NA
yIDD,bmi,sd,5.657139412653947,Continuous,NA
yIDD,bmi,median,32,Continuous,NA
yIDD,bmi,q25,26.823593264249997,Continuous,NA
yIDD,bmi,q75,33.7275406225,Continuous,NA
yIDD,bmi,min,16.404171149,Continuous,NA
yIDD,bmi,max,47.875519349,Continuous,NA
yIDD,bmi,freq,140,Continuous,NA
yIDD,bmi,missing,0,Continuous,NA
yIDD,hba1c,mean,7.166285714285714,Continuous,NA
yIDD,hba1c,sd,1.8490426622176475,Continuous,NA
yIDD,hba1c,median,6.54,Continuous,NA
yIDD,hba1c,q25,5.8,Continuous,NA
yIDD,hba1c,q75,8.05,Continuous,NA
yIDD,hba1c,min,4.7,Continuous,NA
yIDD,hba1c,max,12.8,Continuous,NA
yIDD,hba1c,freq,140,Continuous,NA
yIDD,hba1c,missing,0,Continuous,NA
yIDD,cpeptidef,mean,2.3248285714285712,Continuous,NA
yIDD,cpeptidef,sd,1.0750820610663734,Continuous,NA
yIDD,cpeptidef,median,2.355,Continuous,NA
yIDD,cpeptidef,q25,1.6725,Continuous,NA
yIDD,cpeptidef,q75,2.9,Continuous,NA
yIDD,cpeptidef,min,0.11,Continuous,NA
yIDD,cpeptidef,max,5.36,Continuous,NA
yIDD,cpeptidef,freq,140,Continuous,NA
yIDD,cpeptidef,missing,0,Continuous,NA
yIDD,sbp,mean,112.12857142863571,Continuous,NA
yIDD,sbp,sd,9.946566733850455,Continuous,NA
yIDD,sbp,median,112.66666667,Continuous,NA
yIDD,sbp,q25,106.5000000025,Continuous,NA
yIDD,sbp,q75,118.833333335,Continuous,NA
yIDD,sbp,min,79.333333333,Continuous,NA
yIDD,sbp,max,139.33333333,Continuous,NA
yIDD,sbp,freq,140,Continuous,NA
yIDD,sbp,missing,0,Continuous,NA
yIDD,dbp,mean,69.95238095241429,Continuous,NA
yIDD,dbp,sd,8.394506542626774,Continuous,NA
yIDD,dbp,median,70,Continuous,NA
yIDD,dbp,q25,64.75,Continuous,NA
yIDD,dbp,q75,76,Continuous,NA
yIDD,dbp,min,45.333333333,Continuous,NA
yIDD,dbp,max,90,Continuous,NA
yIDD,dbp,freq,140,Continuous,NA
yIDD,dbp,missing,0,Continuous,NA
yIDD,ldlc,mean,107.14,Continuous,NA
yIDD,ldlc,sd,30.540961526043212,Continuous,NA
yIDD,ldlc,median,106,Continuous,NA
yIDD,ldlc,q25,86,Continuous,NA
yIDD,ldlc,q75,125.25,Continuous,NA
yIDD,ldlc,min,41,Continuous,NA
yIDD,ldlc,max,206,Continuous,NA
yIDD,ldlc,freq,140,Continuous,NA
yIDD,ldlc,missing,0,Continuous,NA
yIDD,hdlc,mean,48.11571428571428,Continuous,NA
yIDD,hdlc,sd,9.418001066598046,Continuous,NA
yIDD,hdlc,median,47,Continuous,NA
yIDD,hdlc,q25,41.75,Continuous,NA
yIDD,hdlc,q75,53,Continuous,NA
yIDD,hdlc,min,27,Continuous,NA
yIDD,hdlc,max,75,Continuous,NA
yIDD,hdlc,freq,140,Continuous,NA
yIDD,hdlc,missing,0,Continuous,NA
yIDD,totalc,mean,177.09489051094891,Continuous,NA
yIDD,totalc,sd,36.289660497106844,Continuous,NA
yIDD,totalc,median,177,Continuous,NA
yIDD,totalc,q25,152,Continuous,NA
yIDD,totalc,q75,196,Continuous,NA
yIDD,totalc,min,106,Continuous,NA
yIDD,totalc,max,326,Continuous,NA
yIDD,totalc,freq,137,Continuous,NA
yIDD,totalc,missing,3,Continuous,NA
yIDD,insulinf,mean,21.511363636363637,Continuous,NA
yIDD,insulinf,sd,11.126026807259464,Continuous,NA
yIDD,insulinf,median,18.25,Continuous,NA
yIDD,insulinf,q25,12.624999999999998,Continuous,NA
yIDD,insulinf,q75,28.6,Continuous,NA
yIDD,insulinf,min,6.4,Continuous,NA
yIDD,insulinf,max,50.3,Continuous,NA
yIDD,insulinf,freq,44,Continuous,NA
yIDD,insulinf,missing,96,Continuous,NA
yIDD,tgl,mean,86.86666666666666,Continuous,NA
yIDD,tgl,sd,42.8902404664829,Continuous,NA
yIDD,tgl,median,73,Continuous,NA
yIDD,tgl,q25,53,Continuous,NA
yIDD,tgl,q75,112,Continuous,NA
yIDD,tgl,min,39,Continuous,NA
yIDD,tgl,max,219,Continuous,NA
yIDD,tgl,freq,45,Continuous,NA
yIDD,tgl,missing,95,Continuous,NA
yIDD,glucosef,mean,113.95555555555555,Continuous,NA
yIDD,glucosef,sd,25.672726557358274,Continuous,NA
yIDD,glucosef,median,107,Continuous,NA
yIDD,glucosef,q25,96,Continuous,NA
yIDD,glucosef,q75,128,Continuous,NA
yIDD,glucosef,min,74,Continuous,NA
yIDD,glucosef,max,192,Continuous,NA
yIDD,glucosef,freq,45,Continuous,NA
yIDD,glucosef,missing,95,Continuous,NA
yIRD,bmi,mean,39.224039948606965,Continuous,NA
yIRD,bmi,sd,7.34661569919327,Continuous,NA
yIRD,bmi,median,38,Continuous,NA
yIRD,bmi,q25,35.6915,Continuous,NA
yIRD,bmi,q75,41.453842302,Continuous,NA
yIRD,bmi,min,26.765297466,Continuous,NA
yIRD,bmi,max,89.012019185,Continuous,NA
yIRD,bmi,freq,201,Continuous,NA
yIRD,bmi,missing,0,Continuous,NA
yIRD,hba1c,mean,6.786567164179105,Continuous,NA
yIRD,hba1c,sd,1.5544673224987453,Continuous,NA
yIRD,hba1c,median,6.3,Continuous,NA
yIRD,hba1c,q25,5.8,Continuous,NA
yIRD,hba1c,q75,7.3,Continuous,NA
yIRD,hba1c,min,4.7,Continuous,NA
yIRD,hba1c,max,12.6,Continuous,NA
yIRD,hba1c,freq,201,Continuous,NA
yIRD,hba1c,missing,0,Continuous,NA
yIRD,cpeptidef,mean,5.288995024875622,Continuous,NA
yIRD,cpeptidef,sd,1.761151477010176,Continuous,NA
yIRD,cpeptidef,median,5.12,Continuous,NA
yIRD,cpeptidef,q25,4.19,Continuous,NA
yIRD,cpeptidef,q75,6.46,Continuous,NA
