study,variable,est,value,type,group
SEARCH,bmi,mean,34.573058085815184,Continuous,NA
SEARCH,bmi,sd,8.991079883691732,Continuous,NA
SEARCH,bmi,median,34.205118815,Continuous,NA
SEARCH,bmi,q25,28.472276847499998,Continuous,NA
SEARCH,bmi,q75,39.56261353,Continuous,NA
SEARCH,bmi,min,16.404171149,Continuous,NA
SEARCH,bmi,max,89.012019185,Continuous,NA
SEARCH,bmi,freq,303,Continuous,NA
SEARCH,bmi,missing,0,Continuous,NA
SEARCH,hba1c,mean,7.027656765676568,Continuous,NA
SEARCH,hba1c,sd,1.8111543977974456,Continuous,NA
SEARCH,hba1c,median,6.4,Continuous,NA
SEARCH,hba1c,q25,5.8,Continuous,NA
SEARCH,hba1c,q75,7.7,Continuous,NA
SEARCH,hba1c,min,4.6,Continuous,NA
SEARCH,hba1c,max,12.8,Continuous,NA
SEARCH,hba1c,freq,303,Continuous,NA
SEARCH,hba1c,missing,0,Continuous,NA
SEARCH,cpeptidef,mean,3.7617095709570956,Continuous,NA
SEARCH,cpeptidef,sd,2.1029345803297126,Continuous,NA
SEARCH,cpeptidef,median,3.45,Continuous,NA
SEARCH,cpeptidef,q25,2.18,Continuous,NA
SEARCH,cpeptidef,q75,4.95,Continuous,NA
SEARCH,cpeptidef,min,0.11,Continuous,NA
SEARCH,cpeptidef,max,11.4,Continuous,NA
SEARCH,cpeptidef,freq,303,Continuous,NA
SEARCH,cpeptidef,missing,0,Continuous,NA
SEARCH,sbp,mean,115.63894389460528,Continuous,NA
SEARCH,sbp,sd,12.440106757290838,Continuous,NA
SEARCH,sbp,median,114.66666667,Continuous,NA
SEARCH,sbp,q25,107.33333333,Continuous,NA
SEARCH,sbp,q75,122.66666667,Continuous,NA
SEARCH,sbp,min,79.333333333,Continuous,NA
SEARCH,sbp,max,150.66666667,Continuous,NA
SEARCH,sbp,freq,303,Continuous,NA
SEARCH,sbp,missing,0,Continuous,NA
SEARCH,dbp,mean,71.671287128699,Continuous,NA
SEARCH,dbp,sd,10.262280494561299,Continuous,NA
SEARCH,dbp,median,70.666666667,Continuous,NA
SEARCH,dbp,q25,64,Continuous,NA
SEARCH,dbp,q75,78.83333333350001,Continuous,NA
SEARCH,dbp,min,45.333333333,Continuous,NA
SEARCH,dbp,max,107.33333333,Continuous,NA
SEARCH,dbp,freq,303,Continuous,NA
SEARCH,dbp,missing,0,Continuous,NA
SEARCH,ldlc,mean,99.61914191419142,Continuous,NA
SEARCH,ldlc,sd,30.209801103366424,Continuous,NA
SEARCH,ldlc,median,98.8,Continuous,NA
SEARCH,ldlc,q25,78,Continuous,NA
SEARCH,ldlc,q75,117,Continuous,NA
SEARCH,ldlc,min,44,Continuous,NA
SEARCH,ldlc,max,231,Continuous,NA
SEARCH,ldlc,freq,303,Continuous,NA
SEARCH,ldlc,missing,0,Continuous,NA
SEARCH,hdlc,mean,39.58151815181518,Continuous,NA
SEARCH,hdlc,sd,9.35956791710323,Continuous,NA
SEARCH,hdlc,median,39,Continuous,NA
SEARCH,hdlc,q25,33,Continuous,NA
SEARCH,hdlc,q75,45,Continuous,NA
SEARCH,hdlc,min,15,Continuous,NA
SEARCH,hdlc,max,72,Continuous,NA
SEARCH,hdlc,freq,303,Continuous,NA
SEARCH,hdlc,missing,0,Continuous,NA
SEARCH,totalc,mean,168.50680272108843,Continuous,NA
SEARCH,totalc,sd,39.32638808715372,Continuous,NA
SEARCH,totalc,median,165.5,Continuous,NA
SEARCH,totalc,q25,139.25,Continuous,NA
SEARCH,totalc,q75,192.75,Continuous,NA
SEARCH,totalc,min,89,Continuous,NA
SEARCH,totalc,max,330,Continuous,NA
SEARCH,totalc,freq,294,Continuous,NA
SEARCH,totalc,missing,9,Continuous,NA
SEARCH,insulinf,mean,NA,Continuous,NA
SEARCH,insulinf,sd,NA,Continuous,NA
SEARCH,insulinf,median,NA,Continuous,NA
SEARCH,insulinf,q25,NA,Continuous,NA
SEARCH,insulinf,q75,NA,Continuous,NA
SEARCH,insulinf,min,Inf,Continuous,NA
SEARCH,insulinf,max,-Inf,Continuous,NA
SEARCH,insulinf,freq,0,Continuous,NA
SEARCH,insulinf,missing,303,Continuous,NA
SEARCH,tgl,mean,NA,Continuous,NA
SEARCH,tgl,sd,NA,Continuous,NA
SEARCH,tgl,median,NA,Continuous,NA
SEARCH,tgl,q25,NA,Continuous,NA
SEARCH,tgl,q75,NA,Continuous,NA
SEARCH,tgl,min,Inf,Continuous,NA
SEARCH,tgl,max,-Inf,Continuous,NA
SEARCH,tgl,freq,0,Continuous,NA
SEARCH,tgl,missing,303,Continuous,NA
SEARCH,glucosef,mean,NA,Continuous,NA
SEARCH,glucosef,sd,NA,Continuous,NA
SEARCH,glucosef,median,NA,Continuous,NA
SEARCH,glucosef,q25,NA,Continuous,NA
SEARCH,glucosef,q75,NA,Continuous,NA
SEARCH,glucosef,min,Inf,Continuous,NA
SEARCH,glucosef,max,-Inf,Continuous,NA
SEARCH,glucosef,freq,0,Continuous,NA
SEARCH,glucosef,missing,303,Continuous,NA
TODAY,bmi,mean,34.53567804154303,Continuous,NA
TODAY,bmi,sd,2.604568535946974,Continuous,NA
TODAY,bmi,median,33.7775,Continuous,NA
TODAY,bmi,q25,32,Continuous,NA
TODAY,bmi,q75,38,Continuous,NA
TODAY,bmi,min,32,Continuous,NA
TODAY,bmi,max,38,Continuous,NA
TODAY,bmi,freq,337,Continuous,NA
TODAY,bmi,missing,0,Continuous,NA
TODAY,hba1c,mean,5.912759643916914,Continuous,NA
TODAY,hba1c,sd,0.6808938748753215,Continuous,NA
TODAY,hba1c,median,5.9,Continuous,NA
TODAY,hba1c,q25,5.4,Continuous,NA
TODAY,hba1c,q75,6.3,Continuous,NA
TODAY,hba1c,min,4.3,Continuous,NA
TODAY,hba1c,max,7.9,Continuous,NA
TODAY,hba1c,freq,337,Continuous,NA
TODAY,hba1c,missing,0,Continuous,NA
TODAY,cpeptidef,mean,3.798925816023739,Continuous,NA
TODAY,cpeptidef,sd,1.556247179329439,Continuous,NA
TODAY,cpeptidef,median,3.55,Continuous,NA
TODAY,cpeptidef,q25,2.7,Continuous,NA
TODAY,cpeptidef,q75,4.64,Continuous,NA
TODAY,cpeptidef,min,1.04,Continuous,NA
TODAY,cpeptidef,max,8.92,Continuous,NA
