term,estimate,std.error,statistic,p.value,outcome
(Intercept),-2.3690670886311773,0.35937287779785904,43.45743849580817,4.332811887053367e-11,survey_abnormal
clusterySIDD,0.05209890938293658,0.3505084633659504,0.022093282527718406,0.8818392134430773,survey_abnormal
clusterySIRD,0.21971036996201637,0.28780291006059505,0.5827881988409122,0.4452215065835745,survey_abnormal
age_category>15,0.49186110334094924,0.30941453841116073,2.526990023764991,0.11191351412760764,survey_abnormal
age_category14-15,0.4550836053605796,0.3482919595690599,1.7072435581054124,0.19134339565660663,survey_abnormal
female,0.028973367661505475,0.2668450630432417,0.011789071739460168,0.9135376140795862,survey_abnormal
race_ethNH Black,0.11728928418590524,0.30690163121530073,0.14605562183528886,0.7023336103533115,survey_abnormal
race_ethHispanic,-0.8258824294942634,0.39620775032680794,4.345007396339409,0.03711760599355263,survey_abnormal
race_ethNH Other,-0.2922713269452622,0.5025715593484337,0.33820233865819116,0.5608687085290245,survey_abnormal
(Intercept),-1.8931448027197513,0.27322845237391474,48.008244177945414,4.244271600839511e-12,exam_abnormal
clusterySIDD,0.6823551552236008,0.22730346793998935,9.011743677582452,0.0026825037988552625,exam_abnormal
clusterySIRD,0.7977890537111135,0.19562007247313484,16.632185320269592,4.5374470240333586e-5,exam_abnormal
age_category>15,0.4580699992257354,0.17432684843582402,6.904546208680385,0.008597684548945939,exam_abnormal
age_category14-15,-0.2848953413647956,0.2635164403784436,1.1688405357479843,0.27963960730895654,exam_abnormal
female,-0.06973767256540038,0.16089303520165113,0.1878712863356694,0.6646942643033931,exam_abnormal
race_ethNH Black,0.28456561332914915,0.1882089702488209,2.286041979148144,0.13054244542560145,exam_abnormal
race_ethHispanic,-0.32364657100047167,0.25452454970063004,1.6168981517564152,0.20352483901849272,exam_abnormal
race_ethNH Other,-0.30858048579923164,0.3642401788864319,0.7177301920398331,0.39688945805103193,exam_abnormal
(Intercept),-1.5622172305071436,0.21722421830086996,51.7209342429255,6.398215290914777e-13,combined_abnormal
clusterySIDD,0.4350803184897418,0.19216816788522412,5.125969010392219,0.023570406718752213,combined_abnormal
clusterySIRD,0.6398409017590765,0.1560313074351967,16.81591496438339,4.118643987349735e-5,combined_abnormal
age_category>15,0.39896046776845995,0.15025224015392002,7.050465914365724,0.007924463671773574,combined_abnormal
age_category14-15,-0.09022575224616167,0.20726674947598914,0.189496743161293,0.6633358042168251,combined_abnormal
female,0.028927155810576453,0.1374007359446406,0.044323429049472084,0.8332530237409885,combined_abnormal
race_ethNH Black,0.1481795378452159,0.15631296231537592,0.8986415288845067,0.34314622849355614,combined_abnormal
race_ethHispanic,-0.34351430370931635,0.20497205111336414,2.8086676812403932,0.09375621116795452,combined_abnormal
race_ethNH Other,-0.12726234183454352,0.2747748984142656,0.21450909441851954,0.6432559459252328,combined_abnormal
