variable,group,Total,Female_search,Male_search,Female_today,Male_today
bmi,NA,34.6 (6.5),34.5 (8.9),34.7 (9.1),34.5 (2.6),34.6 (2.6)
hba1c,NA,"6 (5.5, 6.8)","6.2 (5.7, 7.6)","6.6 (5.9, 7.8)","5.9 (5.5, 6.4)","5.8 (5.4, 6.2)"
cpeptidef,NA,3.8 (1.8),3.7 (2),3.8 (2.3),3.9 (1.6),3.7 (1.5)
sbp,NA,114.3 (11.6),113.3 (12.1),118.8 (12.2),111.5 (10.5),115.3 (10.5)
dbp,NA,69 (9.8),70.6 (9.8),73.2 (10.7),66.8 (8.9),66.5 (8.2)
ldlc,NA,91.1 (28.2),99.9 (30),99.2 (30.5),83.3 (23.4),83.6 (24.7)
hdlc,NA,39.2 (9.2),41.1 (8.8),37.5 (9.7),40.3 (9.3),36.8 (8.2)
totalc,NA,155.1 (36.2),168.4 (39.2),168.7 (39.7),144.8 (27.9),141.3 (29.7)
insulinf,NA,30.1 (22.2),NA (NA),NA (NA),30 (19.1),30.3 (26.3)
tgl,NA,107.7 (67.1),NA (NA),NA (NA),107.2 (61.7),108.5 (74.6)
glucosef,NA,106.5 (21.3),NA (NA),NA (NA),105.5 (20.6),107.9 (22.4)
female,NA,640 (58.8%),173 (100%),130 (0%),203 (100%),134 (0%)
insulin,NA,638 (21%),172 (46.5%),129 (41.9%),203 (0%),134 (0%)
metformin,NA,638 (85.4%),172 (68%),129 (70.5%),203 (100%),134 (100%)
cluster,yMOD,299 (46.7%),54 (31.2%),35 (26.9%),127 (62.6%),83 (61.9%)
cluster,ySIDD,140 (21.9%),58 (33.5%),37 (28.5%),29 (14.3%),16 (11.9%)
cluster,ySIRD,201 (31.4%),61 (35.3%),58 (44.6%),47 (23.2%),35 (26.1%)
study,SEARCH,303 (47.3%),173 (100%),130 (100%),NA,NA
study,TODAY,337 (52.7%),NA,NA,203 (100%),134 (100%)
dmduration_category,<=5 months,640 (100%),173 (100%),130 (100%),203 (100%),134 (100%)
age_category,14-15,139 (21.7%),22 (12.7%),14 (10.8%),54 (26.6%),49 (36.6%)
age_category,<=13,243 (38%),74 (42.8%),32 (24.6%),99 (48.8%),38 (28.4%)
age_category,>15,258 (40.3%),77 (44.5%),84 (64.6%),50 (24.6%),47 (35.1%)
race_eth,Hispanic,215 (33.6%),44 (25.4%),30 (23.1%),85 (41.9%),56 (41.8%)
race_eth,NH Black,209 (32.7%),74 (42.8%),42 (32.3%),59 (29.1%),34 (25.4%)
race_eth,NH Other,58 (9.1%),12 (6.9%),17 (13.1%),20 (9.9%),9 (6.7%)
race_eth,NH White,158 (24.7%),43 (24.9%),41 (31.5%),39 (19.2%),35 (26.1%)
