variable,group,Total,SEARCH,TODAY
bmi,NA,34.6 (6.5),34.6 (9),34.5 (2.6)
hba1c,NA,"6 (5.5, 6.8)","6.4 (5.8, 7.7)","5.9 (5.4, 6.3)"
cpeptidef,NA,3.8 (1.8),3.8 (2.1),3.8 (1.6)
sbp,NA,114.3 (11.6),115.6 (12.4),113 (10.7)
dbp,NA,69 (9.8),71.7 (10.3),66.7 (8.6)
ldlc,NA,91.1 (28.2),99.6 (30.2),83.4 (23.9)
hdlc,NA,39.2 (9.2),39.6 (9.4),38.9 (9)
totalc,NA,155.1 (36.2),168.5 (39.3),143.4 (28.6)
insulinf,NA,30.1 (22.2),NA (NA),30.1 (22.2)
tgl,NA,107.7 (67.1),NA (NA),107.7 (67.1)
glucosef,NA,106.5 (21.3),NA (NA),106.5 (21.3)
female,NA,640 (58.8%),303 (57.1%),337 (60.2%)
insulin,NA,638 (21%),301 (44.5%),337 (0%)
metformin,NA,638 (85.4%),301 (69.1%),337 (100%)
cluster,yMOD,299 (46.7%),89 (29.4%),210 (62.3%)
cluster,ySIDD,201 (31.4%),119 (39.3%),82 (24.3%)
cluster,ySIRD,140 (21.9%),95 (31.4%),45 (13.4%)
study,SEARCH,NA,NA,NA
study,TODAY,NA,NA,NA
study,Total,NA,NA,NA
dmduration_category,<=5 months,640 (100%),303 (100%),337 (100%)
age_category,14-15,139 (21.7%),36 (11.9%),103 (30.6%)
age_category,<=13,243 (38%),106 (35%),137 (40.7%)
age_category,>15,258 (40.3%),161 (53.1%),97 (28.8%)
race_eth,Hispanic,215 (33.6%),74 (24.4%),141 (41.8%)
race_eth,NH Black,209 (32.7%),116 (38.3%),93 (27.6%)
race_eth,NH Other,58 (9.1%),29 (9.6%),29 (8.6%)
race_eth,NH White,158 (24.7%),84 (27.7%),74 (22%)
bmipct,<98.5,270 (42.2%),127 (41.9%),143 (42.4%)
bmipct,>=98.5,370 (57.8%),176 (58.1%),194 (57.6%)
