outcome,term,estimate,std.error
BMI,age_category>15,2.3168709186167,0.5705439399069758
BMI,age_category14-15,2.013664358798309,0.6787414442331018
HbA1c,age_category>15,0.30759977031294417,0.12922026209150927
HbA1c,age_category14-15,0.027512212452258218,0.15372549102961486
Fasting C-peptide,age_category>15,0.17771576227390087,0.16406193839210567
Fasting C-peptide,age_category14-15,0.08951878497202284,0.19517451543889142
SBP,age_category>15,6.162093661164334,1.0063955564808895
SBP,age_category14-15,5.3729510217628835,1.1972476188021348
DBP,age_category>15,5.4611669378524335,0.8456580310478932
DBP,age_category14-15,2.551399867767323,1.0060279553829863
LDL Cholesterol,age_category>15,9.889472676811076,2.4890960084093576
LDL Cholesterol,age_category14-15,-0.38250880776863055,2.9611262190569803
HDL Cholesterol,age_category>15,-1.5239831562828816,0.81882935690481
HDL Cholesterol,age_category14-15,-1.107570240104217,0.9741115125622902
